2.5;9.4
0;0
0;0
2.7;3.9
9.4;0.4
42;0
8.2;6.9
0;1.5
17.6;8.5
17;19.5
27;19.6
14.5;8
0.7;0.6
6.4;3.6
9;1.3
42;30.5
18;40
2.7;15
0;2.9
0;0.2
0;0.4
0.6;1.2
0;0
0.1;0
0.1;6.5
0;0
0;0
0;0
0;1.7
0;0
4.1;5.1
8.4;19.9
9;17.2
19.7;26.8
18.7;20.3
12.1;22.3
6;15.4
1.5;5.5
1.6;7.2
10;6.5
12.1;13.4
6.3;11.9
0;0
0;0
0;0.1
0;4.8
0;2.1
0.8;0.2
0;0
0;0
0;0
0;0
0;0
0;0
1.5;1.5
2.7;2
12.5;12.2
15.2;13.8
0;0
0;0
0;0
0;0.7
0;0
0;0
0;0
0;1.1
1.5;4.1
14;32.4
8.1;12.3
21;0.7
9.5;14.5
2;2.9
5.9;10
0;0
0;0
0;0
4.4;2.3
2;5.2
0;0.1
1;15.9
1.6;23
0.5;1.4
0;15.2
0;0
0;0
0;1
4.7;5.4
3.5;15.2
0;0
1.1;0.8
6;0
3.9;3.9
8.2;12.5
2;22
6;10
23;27.1
15.5;28.1
3.5;13.5
0;0.2
0;0
0;0
0;6.2
0;0
0;0
0.5;2.4
0.6;6.4
0;2
0;0.8
0;0
0.5;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;3
0;0
1;0
0;0
0;0
1.1;2.5
0;0
0;0
1.6;0
3.1;2.5
0.4;0.6
3.8;4.6
4.5;19.5
2;9.8
2;9.5
3.6;9.4
2.4;8.3
24.5;17.4
0.4;9
8.6;0
0.1;0
14;19
30.5;50.2
24.5;49.5
3.2;3.4
4;1
0;1
17.6;14.5
12.5;25.3
18;13.5
1;2.1
1.5;13.7
0;2
0;0
0;0
1;0
17.9;7.2
0;5.8
10;3.2
0;5.6
0;0
0;0
0.5;0
7;5.2
0;25.8
0.3;0
11;5
8.7;15.2
0;0.5
0.4;2
0;0
0;0
5;0.6
0.1;3.5
0;0.1
0;0
1.5;34.5
6.8;12
92.5;33
17.9;19.2
0.2;5.5
0;0.6
11;1.6
1;4.6
10.5;0
0;0
5.5;0
0.5;0.7
5.2;4.5
22.2;5.5
6;20
0;4.9
0;0
0;0
0;0
0;0
19;0.1
41;1.2
15.5;0.1
20.5;2.1
3;4.5
0;0
2.9;6.5
6;2
7;2
1;4.7
0;0.1
0.1;0
0;0
0.3;0
4.5;0
0;0
0;0
5.5;0
0.1;0.5
0.8;0.4
20;38
0;0
16.3;4.2
6.5;1
0.5;0
0;0
0;0
0;0
0.3;0
5;3.7
0;4.4
0;0
4.8;0
0;0
0.5;0
0.6;2.1
30;21.4
0;0.5
0;0
6;6.2
0.2;0
15;2.3
2;1.3
31;0.1
6.7;0.2
0;0
0;0
0;0
0.4;5.7
3.4;5.3
29.5;14
15;5
48.5;26.4
5.5;9.4
1;2.5
1.5;1.6
48.5;30.3
15.6;5.2
31.6;29.9
23.9;34
3;6
0.1;0
0;0
7;2.6
12.5;4.1
12.5;10.3
3;14
13.7;20.6
16.6;30.4
2.7;2.9
2;1
10;6
4.5;25
3.5;12
0.1;2.9
0;0
0;0
0.1;1.7
5.8;7
10.5;18.7
10;31.2
15.8;24
14.4;33
3.5;0
0;2.1
18.9;18.8
6.6;22.2
8.1;7.7
0;0.1
0;0.1
0.1;0
0;0.1
1.3;1.2
24.5;22
15;17.1
9;1
0;0.5
16;25.9
2;1.2
0;0
0;0
0;0
10;0.1
17.2;6.2
6.5;6.9
16;9.4
4.2;3.2
6.5;0
11.5;7.1
0.5;0.1
